# STRING v12.0 protein-protein interaction subgraph over the NeuroAD gene universe
# (74 PI4AD snapshot genes UNION 50 Open Targets AD targets UNION MECHANISM_GENES = 115 symbols).
# Source: STRING v12.0 https://string-db.org/api/tsv/network (Homo sapiens, taxon 9606),
# fetched 2026-07-11, no credentials. Licensed CC BY 4.0 (bundling a subset is license-clean).
# combined_score is STRING's integrated confidence on the 0-1000 scale (network default cutoff 400).
# This is the offline-first, deterministic PPI network for in-repo RWR/heat-diffusion propagation.
gene_a,gene_b,combined_score,string_version
APP,ITGB1,761,v12.0
APP,ITGB3,426,v12.0
APP,JUN,790,v12.0
APP,LOC102723407,468,v12.0
APP,MAPK1,827,v12.0
APP,MAPK3,753,v12.0
APP,MAPT,995,v12.0
APP,MS4A6A,481,v12.0
APP,MYC,460,v12.0
APP,NFKB1,870,v12.0
APP,PECAM1,402,v12.0
APP,PICALM,820,v12.0
APP,PSEN1,999,v12.0
APP,PSEN2,969,v12.0
APP,PTEN,592,v12.0
APP,PTPRC,406,v12.0
APP,RHOA,458,v12.0
APP,SHC1,933,v12.0
APP,SLC6A3,479,v12.0
APP,SORL1,999,v12.0
APP,SRC,864,v12.0
APP,STAT3,753,v12.0
APP,TLR2,578,v12.0
APP,TLR4,670,v12.0
APP,TP53,714,v12.0
APP,TREM2,901,v12.0
APP,UBB,644,v12.0
AURKB,BCL2,405,v12.0
AURKB,CALM1,532,v12.0
AURKB,CDC25B,650,v12.0
AURKB,CDK4,608,v12.0
AURKB,CDKN1A,501,v12.0
AURKB,CDKN2B,439,v12.0
AURKB,CTNNB1,568,v12.0
AURKB,ERBB2,432,v12.0
AURKB,GAPDH,516,v12.0
AURKB,HDAC1,603,v12.0
AURKB,HSP90AA1,880,v12.0
AURKB,HSP90AB1,884,v12.0
AURKB,KRAS,456,v12.0
AURKB,MYC,761,v12.0
AURKB,PIK3CA,475,v12.0
AURKB,PLK1,939,v12.0
AURKB,PTEN,440,v12.0
AURKB,RHOA,474,v12.0
AURKB,SRC,482,v12.0
AURKB,TP53,908,v12.0
AURKB,UBB,589,v12.0
AXL,BCL2,463,v12.0
AXL,CBL,635,v12.0
AXL,CD4,604,v12.0
AXL,CTNNB1,553,v12.0
AXL,EGF,511,v12.0
AXL,EGFR,792,v12.0
AXL,ERBB2,763,v12.0
AXL,FN1,534,v12.0
AXL,FYN,467,v12.0
AXL,GAPDH,471,v12.0
AXL,GRB2,931,v12.0
AXL,HSP90AA1,786,v12.0
AXL,HSP90AB1,693,v12.0
AXL,ITGAM,423,v12.0
AXL,JUN,633,v12.0
AXL,KIT,500,v12.0
AXL,KRAS,576,v12.0
AXL,LYN,609,v12.0
AXL,MYC,484,v12.0
AXL,NFKB1,422,v12.0
AXL,NRAS,543,v12.0
AXL,PDGFRB,582,v12.0
AXL,PIK3CA,743,v12.0
AXL,PIK3CB,605,v12.0
AXL,PIK3R1,890,v12.0
AXL,PIK3R2,711,v12.0
AXL,PLCG1,937,v12.0
AXL,PLCG2,918,v12.0
AXL,PTEN,512,v12.0
AXL,PTPN11,438,v12.0
AXL,PTPRC,443,v12.0
AXL,RHOA,404,v12.0
AXL,SHC1,957,v12.0
AXL,SRC,983,v12.0
AXL,STAT3,547,v12.0
AXL,SYK,555,v12.0
AXL,TP53,522,v12.0
AXL,TREM2,597,v12.0
B2M,BCL2,510,v12.0
B2M,CALR,999,v12.0
B2M,CD33,434,v12.0
B2M,CD4,755,v12.0
B2M,CDK4,404,v12.0
B2M,CLU,516,v12.0
B2M,CTNNB1,419,v12.0
B2M,EGF,438,v12.0
B2M,EGFR,446,v12.0
B2M,ERBB2,412,v12.0
B2M,FN1,457,v12.0
B2M,FYN,581,v12.0
B2M,GAPDH,800,v12.0
B2M,GRB2,632,v12.0
B2M,HFE,999,v12.0
B2M,HSP90AA1,418,v12.0
B2M,HSP90AB1,513,v12.0
B2M,INS,833,v12.0
B2M,ITGAM,639,v12.0
B2M,KIT,432,v12.0
B2M,KRAS,437,v12.0
B2M,LOC102723407,712,v12.0
B2M,MAPT,431,v12.0
B2M,MYC,514,v12.0
B2M,NFKB1,478,v12.0
B2M,PECAM1,486,v12.0
B2M,PIK3CA,634,v12.0
B2M,PIK3CB,543,v12.0
B2M,PIK3R1,594,v12.0
B2M,PIK3R2,516,v12.0
B2M,PLCG1,557,v12.0
B2M,PLCG2,611,v12.0
B2M,PSAP,497,v12.0
B2M,PTEN,416,v12.0
B2M,PTPRC,669,v12.0
B2M,RHOA,415,v12.0
B2M,SHC1,519,v12.0
B2M,STAT3,498,v12.0
B2M,SYK,619,v12.0
B2M,TLR2,428,v12.0
B2M,TLR4,454,v12.0
B2M,TP53,582,v12.0
B2M,TREM2,544,v12.0
BACE1,BCHE,741,v12.0
BACE1,BCL2,670,v12.0
BACE1,BIN1,514,v12.0
BACE1,CALR,680,v12.0
BACE1,CDK5,876,v12.0
BACE1,CDK5R1,646,v12.0
BACE1,CLU,538,v12.0
BACE1,CTNNB1,505,v12.0
BACE1,FYN,438,v12.0
BACE1,GAPDH,516,v12.0
BACE1,GRIN2B,418,v12.0
BACE1,GSK3B,677,v12.0
BACE1,HMGCR,629,v12.0
BACE1,INS,513,v12.0
BACE1,JUN,448,v12.0
BACE1,MAPK3,406,v12.0
BACE1,MAPT,770,v12.0
BACE1,NFKB1,497,v12.0
BACE1,PICALM,506,v12.0
BACE1,PSEN1,972,v12.0
BACE1,PSEN2,853,v12.0
BACE1,PTPRC,452,v12.0
BACE1,SORL1,737,v12.0
BACE1,TREM2,573,v12.0
